periodo,tipoEntidad,entidad,sectorEconomico,cantidadCredito,deuda,tasaPorDeuda,tasaPromedioPonderado,deudaCapital,deudaVencida,deudaVencidaDe31A90Dias,valorDesembolso,valorGarantia,valorProvisionCapitalYRendimiento
2020-01,BANCOS MÚLTIPLES,TODOS,Y - CONSUMO DE BIENES Y SERVICIOS,3500437,273767403857.2401,6895482445454.093,25.18737566379465,270069247560.8793,9451856300.319998,633867953.9000001,35382816270.69004,28815575496.29,8623735897.77001
2020-01,BANCOS MÚLTIPLES,BANCAMERICA,Z - COMPRA Y REMODELACIÓN DE VIVIENDAS,88,199538070.82,2929572118.477401,14.68177028292571,197034008.49,3183376.06,536263.3300000001,0.0,185454786.79,2862852.71
2020-01,BANCOS MÚLTIPLES,LAFISE,Z - COMPRA Y REMODELACIÓN DE VIVIENDAS,23,98806075.39,1022567242.4925,10.34923448235646,98481108.17,0.0,0.0,0.0,89711075.89,988060.7400000001
2020-01,BANCOS MÚLTIPLES,POPULAR,Z - COMPRA Y REMODELACIÓN DE VIVIENDAS,19484,47133426451.82002,519435472448.5339,11.02053280551336,46862068197.23006,486242513.71,22313141.16,817347172.2,19215092921.86,501136571.1899999
2020-01,BANCOS MÚLTIPLES,BANESCO,Z - COMPRA Y REMODELACIÓN DE VIVIENDAS,429,1808525115.640001,16263726255.2305,8.992811940836713,1796898656.3,8825781.74,1690595.44,7800600.0,1654853686.81,18013124.93999999
2020-01,BANCOS MÚLTIPLES,LAFISE,Y - CONSUMO DE BIENES Y SERVICIOS,639,238657416.9700001,3689375355.035001,15.4588757469824,236903765.04,3076622.890000001,70980.86,17304792.79,61377150.94000001,4725279.460000002
2020-01,BANCOS MÚLTIPLES,BANESCO,Y - CONSUMO DE BIENES Y SERVICIOS,74388,4540295871.029992,146574318364.6453,32.28298827393248,4419454239.420001,387571072.5999997,7147345.25,492817944.3199998,453957244.0200002,245229232.0499998
2020-01,BANCOS MÚLTIPLES,VIMENCA,Q - ACTIVIDADES DE ORGANIZACIONES Y ÓRGANOS EXTRATERRITORIALES,3,6145367.22,91636503.87,14.91147731119639,6044221.34,0.0,0.0,0.0,0.0,124797.01
2020-01,BANCOS MÚLTIPLES,BANRESERVAS,Q - ACTIVIDADES DE ORGANIZACIONES Y ÓRGANOS EXTRATERRITORIALES,7,42464.5,2547870.0,60.0,41500.14,0.0,0.0,237000.0,0.0,424.65
2020-01,BANCOS MÚLTIPLES,TODOS,"P - ACTIVIDADES DE LOS HOGARES EN CALIDAD DE EMPLEADORES, ACTIVIDADES INDIFERENCIADAS DE PRODUCCIÓN DE BIENES Y SERVICIOS DE LOS HOGARES PARA USO PROPIO",26646,7087812118.66,119240230270.4203,16.82327751838934,6989114389.330007,277507900.0199999,27943897.21,364590799.43,1535014584.79,396013924.3800001
2020-01,BANCOS MÚLTIPLES,CARIBE,"P - ACTIVIDADES DE LOS HOGARES EN CALIDAD DE EMPLEADORES, ACTIVIDADES INDIFERENCIADAS DE PRODUCCIÓN DE BIENES Y SERVICIOS DE LOS HOGARES PARA USO PROPIO",214,129437397.67,1955618071.3405,15.10860158303196,128188625.36,3574477.23,242312.45,8143252.07,15001101.4,3574616.939999999
2020-01,BANCOS MÚLTIPLES,ADEMI,"P - ACTIVIDADES DE LOS HOGARES EN CALIDAD DE EMPLEADORES, ACTIVIDADES INDIFERENCIADAS DE PRODUCCIÓN DE BIENES Y SERVICIOS DE LOS HOGARES PARA USO PROPIO",15578,1348694102.51,37974108476.90548,28.15620562604477,1309903360.540001,38867675.58000001,5806820.200000002,124573606.19,67297222.76999998,35485430.40999999
2020-01,BANCOS MÚLTIPLES,VIMENCA,"O - Otras actividades de servicios comunitarios, sociales y personales",10,17258975.95,239905313.541,13.90032144641815,17064382.01,402509.12,72954.17,3612.0,12658139.56,323667.26
2020-01,BANCOS MÚLTIPLES,BLH,"O - Otras actividades de servicios comunitarios, sociales y personales",30,25540386.43,452794061.0450001,17.72855169149452,25355808.43,40642.32999999999,40642.32999999999,1433933.38,3395705.14,286902.9
2020-01,BANCOS MÚLTIPLES,ACTIVO,"O - Otras actividades de servicios comunitarios, sociales y personales",39,16449994.92,326084254.005,19.82275712490007,16240888.06,766774.3500000001,21954.59,313148.18,2264618.88,860948.5900000001
2020-01,BANCOS MÚLTIPLES,VIMENCA,N - SERVICIOS SOCIALES Y RELACIONADOS CON LA SALUD HUMANA,8,55609148.21999999,627675326.3690001,11.28726740941619,55410929.27,65422.56,65422.56,0.0,51727962.68,594398.5000000001
2020-01,BANCOS MÚLTIPLES,BLH,N - SERVICIOS SOCIALES Y RELACIONADOS CON LA SALUD HUMANA,30,74154368.58999999,1216707398.99,16.40776426426315,73755600.55999999,0.0,0.0,2423372.7,63396739.90000001,930469.49
2020-01,BANCOS MÚLTIPLES,ACTIVO,N - SERVICIOS SOCIALES Y RELACIONADOS CON LA SALUD HUMANA,13,923221.9299999999,30120406.0,32.62531469546006,923221.9299999999,0.0,0.0,928574.28,0.0,9231.73
2020-01,BANCOS MÚLTIPLES,SCOTIABANK,M - ENSEÑANZA,16,13216657.14,176837912.9449,13.37992739553657,13131136.4,28838.48,28838.48,0.0,8348325.09,160840.94
2020-01,BANCOS MÚLTIPLES,BHD,M - ENSEÑANZA,483,1855157066.98,23064146914.0114,12.43244969632539,1841578478.050001,16592320.11,13396264.53,31475092.86,1278284787.27,23171012.31999998
2020-01,BANCOS MÚLTIPLES,SCOTIABANK,L - ADMINISTRACIÓN PÚBLICA Y DEFENSA: PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA,4,4539171.91,52266900.9564,11.51463350424197,4507865.0,0.0,0.0,0.0,3060066.13,45623.91
2020-01,BANCOS MÚLTIPLES,BDI,L - ADMINISTRACIÓN PÚBLICA Y DEFENSA: PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA,4,12009664.34,170704874.25,14.21395880994289,11819379.54,0.0,0.0,0.0,4007752.88,120096.65
