periodo,tipoEntidad,entidad,genero,cantidadCredito,deuda,tasaPorDeuda,tasaPromedioPonderado,deudaCapital,deudaVencida,deudaVencidaDe31A90Dias,valorDesembolso,valorGarantia,valorProvisionCapitalYRendimiento
2021-10,BANCOS MÚLTIPLES,BLH,Género masculino,6378,4074199491.960004,46272652325.78594,,4053722367.030004,39527527.52999998,10640252.26,267610143.5499999,2877132345.070001,58736651.84000001
2021-10,BANCOS MÚLTIPLES,ACTIVO,No aplica,194,132136774.42,1919060131.4535,,129976299.69,3042422.52,275638.71,4518127.22,53844213.9,10698788.28
2021-10,BANCOS MÚLTIPLES,BLH,Género femenino,5414,1062572086.22,18096619839.4442,,1053689765.27,80292363.66999999,1477281.99,75200113.58999999,647881267.1300004,31186225.96999998
2021-10,BANCOS MÚLTIPLES,BELLBANK,No aplica,96,660615567.1400002,8142847178.519302,,655759214.6600001,5770733.8,1608682.78,153019750.22,428057587.86,12141239.1
2021-10,BANCOS MÚLTIPLES,CARIBE,No aplica,348,3934640671.39,31872508867.7915,,3910796020.790002,25637238.44,119241.79,474461079.18,2787584141.61,116623717.4900001
2021-10,BANCOS MÚLTIPLES,BELLBANK,Género femenino,950,157205703.2199999,2282620409.995999,,155024254.33,5820091.029999999,454699.26,10805362.58,38943089.57,5364068.209999999
2021-10,BANCOS MÚLTIPLES,BANCAMERICA,Género femenino,3116,215378505.1300001,6594742330.125399,,210233033.74,20184575.04,599287.73,58925299.35999998,48001732.44000001,22727706.41
2021-10,BANCOS MÚLTIPLES,BHD,Género masculino,340289,71822343511.97998,1152196922454.295,,70693181012.21988,2217513382.510004,76398651.71999998,6908046664.319983,17631792585.35001,2539198608.749991
2021-10,BANCOS MÚLTIPLES,BDI,Género femenino,6066,1346334403.159998,22487676600.01299,,1333607797.189999,46868132.39000002,1719426.56,144748401.1600001,510801167.24,19387840.39000001
2021-10,BANCOS MÚLTIPLES,PROMERICA,Género masculino,40010,5160851815.62,113440540960.3166,,5102838006.400004,184868221.14,2677441.45,904580122.5500003,937139342.25,199592378.9
2021-10,BANCOS MÚLTIPLES,BANRESERVAS,Género masculino,673716,104496387763.9003,1597094534347.341,,103006038524.1399,2559989368.989999,206666419.9799998,11398056792.87,30830444551.17008,3433948288.429995
2021-10,BANCOS MÚLTIPLES,CARIBE,Género femenino,37215,4018168027.990002,79727687971.06538,,3966354975.400002,150997159.36,8527820.129999999,586731302.25,1021952193.54,205523275.3200004
2021-10,BANCOS MÚLTIPLES,PROMERICA,No aplica,1487,13548306903.17998,100842981957.2323,,13497951765.15,106667267.07,1837607.73,548754059.6999999,5860343694.580002,360563092.0
2021-10,BANCOS MÚLTIPLES,POPULAR,No aplica,37950,225296516465.5301,1407565716385.158,,224609400585.6107,413722771.2899999,60692103.88999999,20359384132.71001,120882810002.8401,5156777660.229997
2021-10,BANCOS MÚLTIPLES,CITIBANK,No aplica,508,3421254380.3,29920428349.5842,,3391108198.69,0.0,0.0,900724464.0,1637005438.73,160224616.02
2021-10,BANCOS MÚLTIPLES,BANCAMERICA,No aplica,431,1106721081.49,14528728875.6375,,1090370960.17,137373322.59,5967196.380000001,84957324.09,425652242.8700001,104641443.84
2021-10,BANCOS MÚLTIPLES,SCOTIABANK,Género masculino,153089,29710904602.91005,520517417680.1314,,29087979759.32995,662396476.590001,26436876.13000001,1577336080.869998,11081435259.89001,794125401.7999983
2021-10,BANCOS MÚLTIPLES,VIMENCA,No aplica,264,2505966148.570001,20727526246.978,,2493967229.590001,19323766.55,4064042.26,160681669.82,1155870666.3,78154342.66999997
2021-10,BANCOS MÚLTIPLES,ADEMI,Género femenino,76181,4590911067.759991,127350925769.4203,,4443302263.409998,135351405.8599997,13621533.48999999,446947580.7700005,742244306.1300011,144926961.9499994
2021-10,BANCOS MÚLTIPLES,SANTA CRUZ,Género femenino,59969,5940463285.490011,106078972314.9993,,5889785796.940011,116140470.7299999,3029156.84,889813498.9700004,2389127288.73,146905515.09
2021-10,BANCOS MÚLTIPLES,BELLBANK,Género masculino,1892,380252240.81,4913032270.360998,,375275986.7700002,6867935.150000002,1469406.12,30770221.86,179509376.71,9165370.689999992
2021-10,BANCOS MÚLTIPLES,VIMENCA,Género femenino,11172,2110735904.73,27465267247.45009,,2081267636.7,38647085.65999999,1790397.25,106296436.24,742853940.4800003,45836676.27000003
2021-10,BANCOS MÚLTIPLES,SCOTIABANK,No aplica,2994,32752095714.16001,208384312464.7452,,32596724610.17001,904852410.0600001,99716759.9,5515790771.610002,11518260218.47,1524629928.59
2021-10,BANCOS MÚLTIPLES,BANRESERVAS,No aplica,29928,182136242442.9304,1393913148429.292,,179880143932.14,1534436398.16,96710890.28000006,11258975460.07999,67470462815.32012,11234054860.53999
2021-10,BANCOS MÚLTIPLES,LAFISE,No aplica,538,3550153228.019997,26022840588.7115,,3534129235.4,13636299.47,5224789.189999999,622964617.1600001,1473628217.9,57367598.98
2021-10,BANCOS MÚLTIPLES,ACTIVO,Género femenino,2664,328557714.6599999,6978141507.460399,,322385410.8400002,12246131.45,1102432.47,24271320.11,161648114.71,12534380.35000001
2021-10,BANCOS MÚLTIPLES,BANCAMERICA,Género masculino,4141,674350174.0799996,17037679349.12941,,658295666.3099998,97947630.87999998,1296533.76,171540807.02,222805332.14,84282100.67999998
2021-10,BANCOS MÚLTIPLES,BLH,No aplica,885,5201754072.470001,43384138897.69448,,5158033098.379999,146543960.3999999,4589487.210000001,286156540.1399999,3918367507.180001,146763164.51
2021-10,BANCOS MÚLTIPLES,POPULAR,Género femenino,328887,48504181573.93006,882085086585.4976,,48072308873.69019,676678812.3399997,31171644.48999999,5633692345.159997,21234172614.14999,1000347521.559995
2021-10,BANCOS MÚLTIPLES,BDI,No aplica,761,8404664079.550005,77815118550.07452,,8290646872.130003,152502828.82,9581069.140000002,374882434.6199998,5032876213.16,229742055.7800002
2021-10,BANCOS MÚLTIPLES,BANESCO,Género femenino,27383,2688128549.429997,57812286411.2954,,2650762099.67,101428200.6300001,2895562.550000002,102581750.13,656559744.8499999,116120424.32
2021-10,BANCOS MÚLTIPLES,PROMERICA,Género femenino,32012,2197350497.34,60941481562.64828,,2167958778.91,81901826.40999997,1404454.92,469922178.6100001,254313613.11,78933265.0
2021-10,BANCOS MÚLTIPLES,BANESCO,Género masculino,36423,5065035293.389998,103223973753.0707,,4992133780.579997,253870156.8399999,6178958.820000002,239359034.7,1537194151.579999,258253389.1600001
2021-10,BANCOS MÚLTIPLES,LAFISE,Género femenino,397,225257166.55,2568445522.109,,223313538.56,3543661.089999999,89681.85,11311041.04,83082099.52000001,3343524.310000001
2021-10,BANCOS MÚLTIPLES,CITIBANK,Género femenino,2,51073.0,151438.0,,51016.0,0.0,0.0,0.0,0.0,510.73
2021-10,BANCOS MÚLTIPLES,SANTA CRUZ,Género masculino,83962,12142648014.58,202908195280.0143,,12032858988.92002,360952783.9200001,9193771.54,1759227200.84,4147237119.04,436405941.7500002
2021-10,BANCOS MÚLTIPLES,POPULAR,Género masculino,454915,92359964133.49054,1579812472415.428,,91556264058.77,1747233667.390003,59512933.52000001,10207144886.17002,35170840502.63,2327190847.510004
2021-10,BANCOS MÚLTIPLES,ACTIVO,Género masculino,3557,564395578.3999996,13212491146.1644,,553054840.0099999,30316956.98999999,1987332.6,69913147.27,224963087.74,29586644.62
2021-10,BANCOS MÚLTIPLES,SCOTIABANK,Género femenino,127226,19018834555.99997,349192920213.0307,,18620538082.30996,311940327.3700001,10600788.68,857807298.0100006,7002798642.360003,486750472.7699999
2021-10,BANCOS MÚLTIPLES,SANTA CRUZ,No aplica,5486,23174888281.76003,164449627228.8396,,23094237676.80999,102826220.8700001,7217779.480000002,3130555660.37,10330008044.22,509944213.6799991
2021-10,BANCOS MÚLTIPLES,BHD,No aplica,20394,101854144274.0599,694093506354.5916,,101231698956.5099,1382699521.64,66422029.79000002,9524153162.700012,41584287015.73997,3132543014.700015
2021-10,BANCOS MÚLTIPLES,LAFISE,Género masculino,775,653113867.9200001,7316039810.171,,648985707.84,2066941.3,690903.29,45720174.75999999,245171796.71,11888588.36
2021-10,BANCOS MÚLTIPLES,ADEMI,Género masculino,85121,6758940121.049979,175030086201.2738,,6507106170.450011,284907135.6999999,22863440.99000003,622497028.1400014,1193103907.94,263776230.9700003
2021-10,BANCOS MÚLTIPLES,VIMENCA,Género masculino,13758,2661205728.329998,36324451740.43788,,2620679733.42,93438819.02000004,2046805.95,154409100.61,1013160972.29,87686272.05999991
2021-11,BANCOS MÚLTIPLES,BANCAMERICA,Género femenino,3097,212768493.2600001,6559194587.485303,,207881789.25,16781093.64,465838.1900000001,48772945.72000001,46787878.13000001,18388199.94000001
2021-11,BANCOS MÚLTIPLES,CARIBE,Género masculino,52835,7147927753.539992,142753576982.5375,,7049597737.279992,329359534.03,15437556.51000001,1108828852.73,1866527008.79,444430760.8899999
2021-11,BANCOS MÚLTIPLES,SANTA CRUZ,No aplica,5692,24517120694.45998,168242047629.0269,,24446976884.49002,102877651.7800001,5351306.649999999,3262221196.130007,10967641871.69,569516913.3399992
2021-11,BANCOS MÚLTIPLES,PROMERICA,No aplica,1541,13640000565.20999,100476496251.339,,13597720173.36,54987221.11999999,3070109.66,826075835.4799998,5807566193.660002,361668131.0
2021-11,BANCOS MÚLTIPLES,POPULAR,Género femenino,327362,49603166752.26013,917801099070.2029,,49200374421.6701,667284892.4099998,32487611.44,6386751144.489992,21475062062.06001,994310509.6199994
2021-11,BANCOS MÚLTIPLES,POPULAR,Género masculino,434919,94313601130.27074,1628450307779.785,,93559390047.66017,1750786438.119993,65469277.72000001,11165307610.68003,35283406186.09999,2301012513.480008
2021-11,BANCOS MÚLTIPLES,ADEMI,No aplica,224,1757807715.5,19010192496.168,,1740226795.97,459608.84,122150.03,271580379.9,976902707.78,69656168.55999999
2021-11,BANCOS MÚLTIPLES,BANESCO,No aplica,1368,11827355503.92999,82262910953.23099,,11724520750.96999,147021858.54,26159892.55999999,2117275300.58,6807550536.389998,425730617.4599998
2021-11,BANCOS MÚLTIPLES,BELLBANK,Género femenino,866,162799900.98,2326079171.8285,,160678997.1499999,3980330.029999999,247272.91,14004646.33,44934926.95,3850805.22
2021-11,BANCOS MÚLTIPLES,SCOTIABANK,Género masculino,155290,30032406049.93997,537647984964.319,,29573160255.06004,656456187.1600007,18920169.64999999,1965099717.079998,11055138053.9,787508106.8400002
2021-11,BANCOS MÚLTIPLES,BHD,Género masculino,349703,73666363078.30005,1199777324601.132,,72616849422.74,2199175286.700004,93352090.88000013,7330977975.339995,17885160606.67,2551254828.21
2021-11,BANCOS MÚLTIPLES,BHD,No aplica,23947,105018566582.33,710775036763.7037,,104417000872.2498,1368838375.529999,72516300.59,7357608670.919997,41941180341.00998,3191024907.85
2021-11,BANCOS MÚLTIPLES,CARIBE,Género femenino,37314,4101813653.76,80931371005.26244,,4049959590.029997,137875106.05,7938527.690000002,632557291.8099998,1108406712.5,196592703.4699998
2021-11,BANCOS MÚLTIPLES,ACTIVO,Género femenino,2787,336322384.8099998,7196459403.171103,,330338489.1499997,13609453.04999999,519693.7500000001,24252184.24,165995015.23,12539754.37
2021-11,BANCOS MÚLTIPLES,BDI,Género masculino,6846,3308505767.499998,43607730232.24301,,3271912058.799998,41246483.55000001,3230178.370000001,245586379.83,1395614765.14,95924734.46
2021-11,BANCOS MÚLTIPLES,SCOTIABANK,Género femenino,129504,19284003991.36996,363355886651.6985,,18993064496.34996,295807023.2899999,9932970.440000001,1096332542.420001,7065873037.43,481532613.7899999
2021-11,BANCOS MÚLTIPLES,SCOTIABANK,No aplica,2965,31867366576.64993,202500464578.899,,31707242318.13994,841276447.0,79699168.92,1742247995.340002,11218338299.74,1446905225.78
2021-11,BANCOS MÚLTIPLES,VIMENCA,Género femenino,11695,2192845235.96,28781339552.153,,2163633978.899999,39622167.71000001,1584082.95,124514209.95,737929683.1100001,48352415.91000001
2021-11,BANCOS MÚLTIPLES,BANCAMERICA,Género masculino,4091,674619105.6999999,17202392850.265,,658447493.1700001,90492099.88,1518379.94,141447323.19,216123050.4599999,83371932.61
